beta,slope,Q_slow,Q_fast,ΔQ,w_slow,w_fast,ratio,dominant,crit_slope_dQ0,crit_slope_ratio05
8.0,-0.15757575757575748,0.03125,-0.0024242424242423566,-0.03367424242424236,1.2840254166877414,0.9807929131632546,0.43305588807548273,slow,,
8.0,-0.1333333333333333,0.03125,0.01333333333333335,-0.01791666666666665,1.2840254166877414,1.1125633382173108,0.4642278888859212,slow,,
8.0,-0.10909090909090913,0.03125,0.02909090909090907,-0.00215909090909093,1.2840254166877414,1.2620372404130666,0.49568192553836976,slow,,
8.0,-0.08484848484848473,0.03125,0.04484848484848493,0.013598484848484929,1.2840254166877414,1.431593098098591,0.5271701788390665,fast,,
8.0,-0.06060606060606055,0.03125,0.06060606060606064,0.029356060606060642,1.2840254166877414,1.6239289403637,0.5584437515072638,fast,,
8.0,-0.036363636363636376,0.03125,0.07636363636363636,0.045113636363636356,1.2840254166877414,1.8421052789744272,0.5892604815053125,fast,,
8.0,-0.012121212121211977,0.03125,0.09212121212121221,0.060871212121212215,1.2840254166877414,2.0895938082521464,0.6193923110244842,fast,,
8.0,0.0121212121212122,0.03125,0.10787878787878794,0.07662878787878794,1.2840254166877414,2.370332647825998,0.648631744886609,fast,,
8.0,0.036363636363636376,0.03125,0.12363636363636366,0.09238636363636366,1.2840254166877414,2.6887890072996607,0.6767970311084903,fast,,
8.0,0.06060606060606055,0.03125,0.13939393939393938,0.10814393939393938,1.2840254166877414,3.0500302699734014,0.7037358286282368,fast,,
8.0,0.08484848484848495,0.03125,0.15515151515151523,0.12390151515151523,1.2840254166877414,3.459804626729219,0.7293272724916462,fast,,
8.0,0.10909090909090913,0.03125,0.17090909090909095,0.13965909090909095,1.2840254166877414,3.9246325431521982,0.7534824850109376,fast,,
8.0,0.1333333333333333,0.03125,0.18666666666666665,0.15541666666666665,1.2840254166877414,4.4519105153433225,0.7761436961808821,fast,,
8.0,0.1575757575757577,0.03125,0.2024242424242425,0.1711742424242425,1.2840254166877414,5.050028765420617,0.7972822177122046,fast,,
8.0,0.18181818181818188,0.03125,0.21818181818181823,0.18693181818181823,1.2840254166877414,5.7285047495185175,0.8168955589131687,fast,,
8.0,0.20606060606060606,0.03125,0.23393939393939395,0.20268939393939395,1.2840254166877414,6.498134602709136,0.8350039817367756,fast,,
8.0,0.23030303030303045,0.03125,0.2496969696969698,0.2184469696969698,1.2840254166877414,7.371164930687185,0.8516467731900109,fast,,
8.0,0.25454545454545463,0.03125,0.2654545454545455,0.2342045454545455,1.2840254166877414,8.361487681824894,0.86687847462612,fast,,
8.0,0.2787878787878788,0.03125,0.28121212121212125,0.24996212121212125,1.2840254166877414,9.484861200465856,0.8807652580683284,fast,,
8.0,0.303030303030303,0.03125,0.29696969696969694,0.26571969696969694,1.2840254166877414,10.759160978930991,0.8933815873550819,fast,,
8.0,0.3272727272727274,0.03125,0.3127272727272728,0.2814772727272728,1.2840254166877414,12.204664098285996,0.9048072523826461,fast,,
8.0,0.35151515151515156,0.03125,0.3284848484848485,0.2972348484848485,1.2840254166877414,13.844371883985945,0.915124821805773,fast,,
8.0,0.37575757575757573,0.03125,0.34424242424242424,0.31299242424242424,1.2840254166877414,15.704375910601096,0.924417525113138,fast,,
8.0,0.40000000000000013,0.03125,0.3600000000000001,0.3287500000000001,1.2840254166877414,17.81427317961221,0.9327675494121501,fast,,
8.0,0.4242424242424243,0.03125,0.37575757575757585,0.34450757575757585,1.2840254166877414,20.207637076722524,0.9402547189133719,fast,,
8.0,0.4484848484848485,0.03125,0.3915151515151515,0.3602651515151515,1.2840254166877414,22.92255160271543,0.9469555147901123,fast,,
8.0,0.47272727272727266,0.03125,0.40727272727272723,0.37602272727272723,1.2840254166877414,26.002217378716594,0.9529423883560839,fast,,
8.0,0.49696969696969706,0.03125,0.4230303030303031,0.3917803030303031,1.2840254166877414,29.495639068817212,0.9582833199077779,fast,,
8.0,0.5212121212121212,0.03125,0.43878787878787884,0.40753787878787884,1.2840254166877414,33.45840515855561,0.9630415778220563,fast,,
8.0,0.5454545454545454,0.03125,0.4545454545454546,0.4232954545454546,1.2840254166877414,37.95357249735127,0.9672756365081073,fast,,
8.0,0.5696969696969698,0.03125,0.47030303030303044,0.43905303030303044,1.2840254166877414,43.05266968002383,0.9710392167506645,fast,,
8.0,0.593939393939394,0.03125,0.4860606060606061,0.4548106060606061,1.2840254166877414,48.83683523353685,0.974381417237655,fast,,
8.0,0.6181818181818182,0.03125,0.5018181818181818,0.47056818181818183,1.2840254166877414,55.398108720172374,0.9773469112227243,fast,,
8.0,0.6424242424242426,0.03125,0.5175757575757577,0.4863257575757577,1.2840254166877414,62.84089530159717,0.9799761870688504,fast,,
8.0,0.6666666666666667,0.03125,0.5333333333333334,0.5020833333333334,1.2840254166877414,71.28362706845141,0.9823058157083049,fast,,
8.0,0.6909090909090909,0.03125,0.5490909090909091,0.5178409090909091,1.2840254166877414,80.86064757108745,0.9843687317754758,fast,,
8.0,0.7151515151515151,0.03125,0.5648484848484848,0.5335984848484848,1.2840254166877414,91.72434953873709,0.9861945183183437,fast,,
